x [m],y [m],z [m],distance [m],max distance [m]
-1068.145,4248600.760,5.998722,66.416514,
-1068.325,4248601.210,5.997493,66.901292,
-1068.488,4248601.666,5.997557,67.386049,
-1068.628,4248602.131,5.997702,67.870782,
-1068.738,4248602.603,5.997637,68.355485,
-1068.813,4248603.081,5.997635,68.840159,
-1068.849,4248603.565,5.997648,69.324820,
-1068.845,4248604.049,5.997644,69.809464,
-1068.796,4248604.532,5.997643,70.294082,
-1068.700,4248605.007,5.997644,70.778663,
-1068.557,4248605.469,5.997644,71.263274,
-1068.374,4248605.918,5.997644,71.747962,
-1068.164,4248606.355,5.997644,72.232707,
-1067.936,4248606.783,5.997644,72.717487,
-1067.700,4248607.207,5.997645,73.202283,
-1067.461,4248607.628,5.997642,73.687078,
-1067.216,4248608.047,5.997641,74.171870,
-1066.962,4248608.460,5.997659,74.656656,
-1066.698,4248608.866,5.997629,75.141435,
-1066.419,4248609.263,5.997593,75.626206,
-1066.126,4248609.649,5.997832,76.110970,
-1065.816,4248610.021,5.997534,76.595727,
-1065.489,4248610.379,5.995888,77.080479,
-1065.144,4248610.720,5.994109,77.565221,
-1064.781,4248611.041,5.992439,78.049958,
-1064.401,4248611.342,5.990506,78.534703,
-1064.006,4248611.622,5.989809,79.019451,
-1063.597,4248611.884,5.989930,79.504204,
-1063.177,4248612.126,5.988556,79.988964,
-1062.748,4248612.350,5.986639,80.473729,
-1062.309,4248612.556,5.985024,80.958497,
-1061.862,4248612.745,5.983148,81.443273,
-1061.410,4248612.919,5.981959,81.928053,
-1060.953,4248613.081,5.982047,82.412839,
-1060.493,4248613.233,5.982242,82.897629,
-1060.030,4248613.377,5.982079,83.382423,
-1059.565,4248613.516,5.981943,83.867219,
-1059.100,4248613.652,5.982947,84.352018,
-1058.635,4248613.789,5.984896,84.836819,
-1058.170,4248613.925,5.986713,85.321620,
-1057.704,4248614.059,5.987688,85.806418,
-1057.237,4248614.190,5.987314,86.291214,
-1056.768,4248614.314,5.985618,86.776010,
-1056.297,4248614.429,5.984316,87.260801,
-1055.824,4248614.535,5.984595,87.745586,
-1055.348,4248614.627,5.986255,88.230370,
-1054.870,4248614.704,5.987616,88.715146,
-1054.389,4248614.765,5.987488,89.199920,
-1053.906,4248614.810,5.986161,89.684701,
-1053.422,4248614.841,5.984201,90.169490,
-1052.938,4248614.862,5.982441,90.654283,
-1052.453,4248614.875,5.981932,91.139077,
-1051.968,4248614.881,5.982160,91.623872,
-1051.484,4248614.884,5.982157,92.108669,
-1050.999,4248614.884,5.982134,92.593467,
-1050.514,4248614.886,5.982129,93.078264,
-1050.029,4248614.889,5.982062,93.563062,
-1049.544,4248614.894,5.982321,94.047859,
-1049.060,4248614.897,5.982170,94.532657,
-1048.575,4248614.896,5.980448,95.017455,
-1048.090,4248614.889,5.979331,95.502248,
-1047.606,4248614.871,5.979539,95.987036,
-1047.122,4248614.842,5.979330,96.471818,
-1046.639,4248614.798,5.979990,96.956593,
-1046.158,4248614.736,5.981854,97.441362,
-1045.681,4248614.654,5.982287,97.926118,
-1045.207,4248614.549,5.982206,98.410875,
-1044.739,4248614.425,5.982470,98.895641,
-1044.275,4248614.284,5.980302,99.380421,
-1043.816,4248614.128,5.976494,99.865218,
-1043.361,4248613.961,5.973216,100.350016,
-1042.909,4248613.785,5.969612,100.834821,
-1042.460,4248613.602,5.966558,101.319625,
-1042.013,4248613.414,5.966044,101.804422,
-1041.567,4248613.224,5.967488,102.289221,
-1041.121,4248613.034,5.969150,102.774022,
-1040.675,4248612.845,5.969326,103.258819,
-1040.228,4248612.657,5.969288,103.743617,
-1039.781,4248612.469,5.969335,104.228415,
-1039.334,4248612.282,5.967798,104.713215,
-1038.886,4248612.096,5.966401,105.198015,
-1038.439,4248611.910,5.966531,105.682812,
-1037.991,4248611.723,5.966710,106.167610,
-1037.543,4248611.537,5.966597,106.652408,
-1037.096,4248611.350,5.966563,107.137205,
-1036.649,4248611.162,5.966813,107.622003,
-1036.202,4248610.974,5.966526,108.106801,
-1035.756,4248610.784,5.964894,108.591601,
-1035.310,4248610.594,5.963093,109.076402,
-1034.865,4248610.402,5.961441,109.561202,
-1034.421,4248610.208,5.959580,110.046004,
-1033.977,4248610.013,5.958617,110.530802,
-1033.534,4248609.817,5.958827,111.015600,
-1033.091,4248609.619,5.959140,111.500397,
-1032.649,4248609.421,5.958433,111.985195,
-1032.207,4248609.220,5.956628,112.469996,
-1031.766,4248609.019,5.954930,112.954797,
-1031.326,4248608.817,5.953188,113.439598,
-1030.885,4248608.614,5.951417,113.924398,
-1030.446,4248608.410,5.950913,114.409196,
-1030.006,4248608.204,5.951132,114.893994,
-1029.568,4248607.998,5.951084,115.378792,
-1029.129,4248607.792,5.951291,115.863589,
-1028.691,4248607.584,5.951038,116.348387,
-1028.253,4248607.376,5.949366,116.833188,
-1027.816,4248607.167,5.947819,117.317988,
-1027.378,4248606.958,5.946001,117.802789,
-1026.942,4248606.748,5.942401,118.287600,
-1026.505,4248606.537,5.940308,118.772402,
-1026.068,4248606.326,5.940712,119.257200,
-1025.632,4248606.115,5.940832,119.741998,
-1025.196,4248605.903,5.940829,120.226795,
-1024.760,4248605.692,5.940891,120.711593,
-1024.324,4248605.480,5.939723,121.196392,
-1023.888,4248605.267,5.937681,121.681194,
-1023.452,4248605.055,5.935919,122.165995,
-1023.016,4248604.843,5.935396,122.650793,
-1022.580,4248604.630,5.935633,123.135591,
-1022.144,4248604.418,5.935661,123.620389,
-1021.709,4248604.206,5.935526,124.105186,
-1021.273,4248603.993,5.935472,124.589984,
-1020.837,4248603.781,5.935936,125.074782,
-1020.401,4248603.568,5.934303,125.559583,
-1019.966,4248603.356,5.930597,126.044394,
-1019.530,4248603.143,5.927497,126.529202,
-1019.094,4248602.931,5.923238,127.014018,
-1018.658,4248602.719,5.918065,127.498844,
-1018.222,4248602.506,5.915622,127.983648,
-1017.786,4248602.294,5.914538,128.468447,
-1017.350,4248602.082,5.912817,128.953247,
-1016.914,4248601.871,5.910825,129.438049,
-1016.478,4248601.659,5.909624,129.922848,
-1016.042,4248601.448,5.909676,130.407646,
-1015.605,4248601.236,5.909758,130.892444,
-1015.169,4248601.025,5.909776,131.377242,
-1014.732,4248600.815,5.909952,131.862039,
-1014.296,4248600.604,5.909021,132.346838,
-1013.859,4248600.394,5.907127,132.831639,
-1013.422,4248600.184,5.905440,133.316440,
-1012.985,4248599.974,5.903760,133.801241,
-1012.548,4248599.765,5.902103,134.286041,
-1012.110,4248599.555,5.900726,134.770841,
-1011.673,4248599.347,5.898238,135.255645,
-1011.235,4248599.138,5.894735,135.740455,
-1010.797,4248598.930,5.892622,136.225257,
-1010.359,4248598.723,5.891223,136.710057,
-1009.921,4248598.515,5.889500,137.194858,
-1009.482,4248598.308,5.888011,137.679658,
-1009.044,4248598.102,5.886005,138.164460,
-1008.605,4248597.896,5.882677,138.649269,
-1008.166,4248597.691,5.878954,139.134081,
-1007.726,4248597.486,5.875928,139.618888,
-1007.287,4248597.281,5.874168,140.103689,
-1006.847,4248597.077,5.872810,140.588489,
-1006.407,4248596.873,5.870988,141.073290,
-1005.967,4248596.669,5.868087,141.558096,
-1005.527,4248596.466,5.863579,142.042915,
-1005.087,4248596.263,5.858490,142.527739,
-1004.647,4248596.061,5.854950,143.012550,
-1004.206,4248595.858,5.851569,143.497359,
-1003.765,4248595.656,5.848121,143.982169,
-1003.324,4248595.454,5.847319,144.466968,
-1002.884,4248595.253,5.847766,144.951766,
-1002.443,4248595.051,5.847677,145.436563,
-1002.001,4248594.850,5.848014,145.921361,
-1001.560,4248594.649,5.847445,146.406159,
-1001.119,4248594.448,5.844260,146.890967,
-1000.678,4248594.248,5.839577,147.375788,
-1000.236,4248594.047,5.834461,147.860612,
-999.795,4248593.846,5.829436,148.345436,
-999.354,4248593.646,5.824464,148.830259,
-998.912,4248593.446,5.819439,149.315083,
-998.471,4248593.245,5.814368,149.799907,
-998.029,4248593.045,5.809533,150.284729,
-997.588,4248592.845,5.804496,150.769553,
